报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),880,2677,1762,1357,3377,1777,1204,1159,
应交税费(万元),389,673,979,1061,938,715,752,363,
应付利息(万元),83,83,102,65,93,118,197,25,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),59,12,14,14,26,2,507,6,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),3647,3718,3385,3400,2553,1096,1157,400,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),47951,49461,50805,43457,36046,20008,20786,12532,
长期借款(万元),4000,5000,5000,5000,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),365,730,802,309,1530,369,536,320,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),--,311,325,329,336,352,60,60,
递延所得税负债(万元),--,--,1,2,4,8,12,16,
其他非流动负债(万元),311,--,--,--,--,--,--,--,
非流动负债合计(万元),4676,6040,6127,5640,1870,729,608,396,
负债合计(万元),52627,55501,56932,49096,37917,20738,21394,12928,
实收资本(或股本)(万元),12563,12563,9422,9422,9422,9422,6477,6477,
资本公积(万元),93536,93536,23209,23209,23209,23209,8034,4694,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),3156,3156,2121,2121,2121,583,25,282,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),29048,28161,28129,24505,17591,4666,-363,1932,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),138304,137416,62881,59257,52343,37879,14172,13385,
少数股东权益(万元),--,--,--,--,--,--,--,73,
所有者权益(或股东权益)合计(万元),138304,137416,62881,59257,52343,37879,14172,13458,
负债和所有者权益(或股东权益)总计(万元),190931,192917,119813,108353,90260,58617,35566,26386,		
