 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31, 
 收到其他与筹资活动有关的现金(万元),2000,997,847,587,137,806,70,--,392,65,310, 
 筹资活动现金流入小计(万元),22200,45255,37105,18085,6420,38907,18651,31870,19512,34355,50990, 
 偿还债务支付的现金(万元),6920,30383,29220,13620,3000,31371,15156,29980,15411,34890,58305, 
 分配股利、利润或偿付利息所支付的现金(万元),2601,2810,2284,1820,352,2884,2177,3043,2569,1587,2129, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),163,843,519,282,51,417,128,296,124,210,336, 
 筹资活动现金流出小计(万元),9684,34036,32024,15722,3403,34671,17461,33319,18104,36687,60771, 
 筹资活动产生的现金流量净额(万元),12516,11219,5081,2363,3017,4235,1190,-1449,1408,-2332,-9781, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-2956,-6232,-5689,-204,-6596,10120,4735,-3508,1257,-8028,-3492, 
 加:期初现金及现金等价物余额(万元),5044,11276,11276,11276,11276,1156,1156,4664,4664,12691,16183, 
 期末现金及现金等价物余额(万元),2088,5044,5587,11071,4680,11276,5890,1156,5921,4664,12691, 
 净利润(万元),--,5476,3986,2320,--,4627,2037,4106,1882,4598,1262, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,89,7,285,--,462,361,-308,120,252,75, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1962,1303,754,--,1310,634,1182,568,1163,1119, 
 无形资产摊销(万元),--,117,85,51,--,109,55,95,44,97,93, 
 长期待摊费用摊销(万元),--,258,258,221,--,394,177,107,45,5,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-4,-9,-7,--,17,16,0,0,14,16, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,-51,-47,-1,--,-3,--,--,15,5,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,2328,1655,1000,--,1630,712,1503,758,1798,2450, 
 投资损失(万元),--,-27,-12,-7,--,-19,-13,-4,-2,-36,--, 
 递延所得税资产减少(万元),--,-107,-89,-105,--,-157,-63,162,92,-66,-138, 
 递延所得税负债增加(万元),--,4,10,-0,--,19,--,--,--,--,--, 
 存货的减少(万元),--,-5433,-4182,-4192,--,-5100,-5526,-1274,-6950,-2090,4441, 
 经营性应收项目的减少(万元),--,-2032,-1507,-7770,--,-4683,-6548,5824,1324,-3562,-1032, 
 经营性应付项目的增加(万元),--,2682,2186,996,--,2622,152,-4352,-3764,-2350,123, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,94,-27,-223,--,560,381,776,1608,893,-1153, 
 经营活动产生现金流量净额(万元),--,5355,3616,-6679,--,1787,-7626,7818,-4259,720,7257, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),2088,5044,11071,11071,4680,11276,5890,1156,5921,4664,12691, 
 现金的期初余额(万元),5044,11276,11276,11276,11276,1156,1156,4664,4664,12691,16183, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-2956,-6232,-204,-204,-6596,10120,4735,-3508,1257,-8028,-3492, 

