报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),241,291,365,301,210,194,123,191,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),12073,13655,13521,1983,782,5639,10320,5150,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),256785,254519,243048,181502,163228,149774,118680,104234,
长期借款(万元),82632,62003,59676,14255,19282,19279,16053,20348,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),2003,2001,--,2020,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),1061,1106,1203,1116,--,--,--,--,
长期递延收益(万元),1800,1752,1156,120,--,--,--,--,
递延所得税负债(万元),5805,5471,9515,10898,95,105,162,180,
其他非流动负债(万元),--,--,--,--,107,--,139,463,
非流动负债合计(万元),93301,72333,71550,28409,19484,19384,16354,20991,
负债合计(万元),350086,326853,314598,209911,182712,169157,135034,125225,
实收资本(或股本)(万元),45000,45000,45000,45000,45000,45000,45000,45000,
资本公积(万元),16063,16063,13177,82118,21262,21254,21465,22799,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),23174,23174,18653,15933,9892,9892,7074,4399,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),134194,126986,115075,91532,44209,39148,27833,16530,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,-2822,-3821,-1488,-2077,
归属于母公司股东权益合计(万元),216855,211146,191275,230473,117541,111473,99884,86650,
少数股东权益(万元),8110,7428,4030,2861,2322,2155,2128,2130,
所有者权益(或股东权益)合计(万元),224964,218573,195305,233334,119863,113628,102012,88780,
负债和所有者权益(或股东权益)总计(万元),575050,545426,509902,443245,302575,282785,237046,214005,		
