报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
长期股权投资(万元),--,--,--,--,2167,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,66168,--,48630,--,44196,39175,33403,--,--,--,--,
累计折旧(万元),--,21371,--,16298,--,14257,12321,10610,--,--,--,--,
固定资产净值(万元),--,44797,--,32332,--,29938,26854,22793,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),44277,44797,35322,32332,30699,29938,26854,22793,20872,16677,14129,11854,
在建工程(万元),37603,32617,35225,34522,33270,31227,24071,22044,3913,1215,547,787,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9923,7974,7740,7830,7948,7753,7780,3037,2708,2702,17,26,
开发支出(万元),367,367,--,--,--,--,--,--,--,--,--,--,
商誉(万元),1977,1977,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),1245,1265,1048,1178,1177,1274,1339,847,717,711,768,691,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),434,513,341,391,335,344,318,234,130,165,120,126,
其他非流动资产(万元),8292,2902,3716,2570,1724,1861,--,780,--,504,1504,--,
非流动资产合计(万元),106099,94470,85560,80990,77320,72397,60363,49734,28340,21973,17084,13485,
资产总计(万元),201425,195602,180429,162337,157703,162858,106773,92407,65795,56050,44728,38218,
短期借款(万元),46288,41936,36087,22828,23975,25413,34046,21580,17512,13439,11000,11675,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,13,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,2000,
应付账款(万元),14309,14971,12638,13310,11868,13649,10020,12833,6828,6902,6250,6828,
预收账款(万元),200,126,38,44,27,14,42,85,24,51,22,64,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2822,4376,3518,3165,2786,3965,2005,2918,2322,2374,1673,1481,
应交税费(万元),2975,2542,2371,1809,2617,1780,1568,1421,893,967,406,513,
应付利息(万元),93,81,55,59,78,68,67,54,73,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,974,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),6700,7477,987,584,1093,1707,489,585,652,538,491,341,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),73387,71508,55694,41797,42443,46597,48238,39476,28317,24271,19843,23877,
长期借款(万元),9776,9589,9837,10084,10332,15036,10694,7934,--,--,--,125,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),945,945,827,762,763,762,762,204,--,75,--,--,
递延所得税负债(万元),--,--,--,0,4,4,0,2,--,5,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),10721,10535,10664,10846,11098,15802,11456,8140,0,80,0,125,
负债合计(万元),84108,82043,66357,52643,53541,62399,59695,47615,28317,24351,19843,24002,
实收资本(或股本)(万元),29033,29033,29033,29033,14400,14400,10800,10800,10800,10800,10800,8500,
资本公积(万元),39994,39779,39495,39111,48205,48094,5874,5874,5874,5874,5704,3496,
减:库存股(万元),5120,5120,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),5092,5092,4001,4001,4001,4001,2810,2810,2003,1355,661,158,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),47837,44164,41460,37481,37575,34003,27597,25325,18806,13658,7715,2060,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,6,2,
归属于母公司股东权益合计(万元),117317,113559,114072,109694,104162,100459,47078,44792,37478,31699,24885,14216,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),117317,113559,114072,109694,104162,100459,47078,44792,37478,31699,24885,14216,
负债和所有者权益(或股东权益)总计(万元),201425,195602,180429,162337,157703,162858,106773,92407,65795,56050,44728,38218,		
