 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 加:期初现金及现金等价物余额(万元),22555,10132,10132,10132,10132,17486,17486,17486,7849,1671,6346,4544,5874,958,1142, 
 期末现金及现金等价物余额(万元),11284,22555,5912,6362,9690,10132,7945,10344,17486,7849,1671,2660,4544,5874,958, 
 净利润(万元),--,6283,4400,3140,--,6008,4180,3071,5086,2719,3523,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,478,360,313,--,376,404,118,-104,833,319,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1944,1419,897,--,1389,929,616,1172,1043,870,--,--,--,--, 
 无形资产摊销(万元),--,136,88,59,--,82,61,25,51,51,45,--,--,--,--, 
 长期待摊费用摊销(万元),--,16,18,2,--,--,--,0,15,44,45,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-2,10,12,--,--,--,0,20,-15,-11,--,--,--,--, 
 固定资产报废损失(万元),--,17,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,74,74,-27,-74,--,384,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,705,506,499,--,-299,-104,73,-162,65,52,--,--,--,--, 
 投资损失(万元),--,-47,-63,-61,--,-123,-201,-30,-68,-109,-417,--,--,--,--, 
 递延所得税资产减少(万元),--,213,167,17,--,-818,-583,-186,-4,-121,-58,--,--,--,--, 
 递延所得税负债增加(万元),--,50,69,32,--,8,-41,23,33,11,-58,--,--,--,--, 
 存货的减少(万元),--,-6422,-3109,-1689,--,-6539,-3181,-1738,-291,-1727,-855,--,--,--,--, 
 经营性应收项目的减少(万元),--,-2836,-1556,266,--,-2134,-2705,-303,-880,-637,-1198,--,--,--,--, 
 经营性应付项目的增加(万元),--,6274,2233,139,--,5252,2042,-552,2556,414,187,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-72,-54,-36,--,614,353,-32,-61,-55,-136,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,6737,4488,3590,--,3889,1228,1056,7287,2517,2693,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),11284,22555,5912,6362,9690,10132,7945,10344,17486,7849,1671,2660,4544,5874,958, 
 现金的期初余额(万元),22555,10132,10132,10132,10132,17486,17486,17486,7849,1671,6346,4544,5874,958,1142, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-11271,12423,-4220,-3770,-442,-7354,-9541,-7141,9636,6179,-4675,-1884,-1330,4916,-183, 

