 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,--,--, 
 投资损失(万元),--,-38765,-21527,--,-31043,-24988,-32181, 
 递延所得税资产减少(万元),--,-3649,1817,--,6064,-50,-9095, 
 递延所得税负债增加(万元),--,-250,987,--,262,-3057,2979, 
 存货的减少(万元),--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,-166732,52431,--,-166497,-264592,-696074, 
 经营性应付项目的增加(万元),--,692064,342958,--,-955360,643566,1247792, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,53422,32578,--,78803,54594,4924, 
 经营活动产生现金流量净额(万元),--,14541,62887,--,-909523,497662,719931, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),1715188,1069116,1376447,1728256,1635557,2419910,1506328, 
 现金的期初余额(万元),1501930,1635557,1635557,2053998,2419910,1506328,771983, 
 现金等价物的期末余额(万元),--,432813,394235,--,418440,581364,358406, 
 现金等价物的期初余额(万元),--,418440,418440,--,581364,358406,203112, 
 现金及现金等价物的净增加额(万元),213258,-552068,-283316,-325742,-947277,1136540,889638, 

