 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,6888,21606, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),19856,184803,109586,38569,143371,99047,31311,124377,69870,122234, 
 投资活动产生的现金流量净额(万元),-19803,-40706,-20362,-7686,-25642,16001,23800,-33116,-3013,-4449, 
 吸收投资收到的现金(万元),--,53034,--,--,--,17,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,17,--,--,--,--, 
 取得借款收到的现金(万元),18500,98592,82287,45382,43293,13600,6100,16450,21100,6450, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),18500,151627,82287,45382,43293,13617,6100,16450,21100,6450, 
 偿还债务支付的现金(万元),17677,93612,69102,14400,37296,14500,7000,16450,20200,9450, 
 分配股利、利润或偿付利息所支付的现金(万元),-191,10331,10018,5058,292,42,30,232,5302,10058, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,289,175,--,113,303,--,--,--,--, 
 筹资活动现金流出小计(万元),17485,104232,79295,19458,37701,14844,7030,16682,25502,19508, 
 筹资活动产生的现金流量净额(万元),1015,47394,2992,25924,5592,-1227,-930,-232,-4402,-13058, 
 汇率变动对现金及现金等价物的影响(万元),--,77,84,--,-277,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-48427,17313,-23728,-23605,16232,25965,-19787,-14016,11016,26906, 
 加:期初现金及现金等价物余额(万元),132717,113006,113006,113006,96775,70810,70810,84827,73811,46905, 
 期末现金及现金等价物余额(万元),84290,130320,89278,89401,113006,96775,51023,70810,84827,73811, 
 净利润(万元),--,26777,8183,--,26610,20342,--,18527,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,732,362,--,50,256,--,1,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,4953,3468,--,3262,3220,--,2940,--,--, 
 无形资产摊销(万元),--,222,142,--,159,151,--,196,--,--, 
 长期待摊费用摊销(万元),--,66,52,--,39,34,--,44,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,58,15,--,46,12,--,-19,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1068,749,--,568,18,--,255,--,--, 
 投资损失(万元),--,-349,-290,--,-133,-380,--,-408,--,--, 
 递延所得税资产减少(万元),--,-912,-453,--,556,-1845,--,162,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-5112,-4257,--,572,-660,--,-821,--,--, 
 经营性应收项目的减少(万元),--,-7488,2689,--,-9434,-18839,--,9,--,--, 
 经营性应付项目的增加(万元),--,-9310,-17004,--,14337,8955,--,-1484,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-158,-100,--,-73,-73,--,-71,--,--, 
 经营活动产生现金流量净额(万元),--,10547,-6442,--,36558,11191,--,19332,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),84290,130320,89278,89401,113006,96775,51023,70810,84827,73811, 
 现金的期初余额(万元),132717,113006,113006,113006,96775,70810,70810,84827,73811,46905, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-48427,17313,-23728,-23605,16232,25965,-19787,-14016,11016,26906, 

