 报告日期,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 投资活动现金流入小计(万元),457,3530,3241,14466,47594,13139, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),843,1511,899,6324,10057,13523, 
 投资所支付的现金(万元),--,3000,3000,--,25700,9300, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),246,163,146,6500,18032,13956, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1090,4675,4044,12824,53788,36779, 
 投资活动产生的现金流量净额(万元),-632,-1145,-804,1643,-6194,-23640, 
 吸收投资收到的现金(万元),--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,40000,40000,4500,12001,46801, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,10,10,780,10673,2000, 
 筹资活动现金流入小计(万元),0,40010,40010,5280,22674,48801, 
 偿还债务支付的现金(万元),8900,36700,33500,3001,16801,21500, 
 分配股利、利润或偿付利息所支付的现金(万元),2066,8120,6877,2660,3120,2269, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),787,1775,1390,7580,5887,4352, 
 筹资活动现金流出小计(万元),11754,46595,41767,13240,25808,28120, 
 筹资活动产生的现金流量净额(万元),-11754,-6585,-1757,-7960,-3135,20681, 
 汇率变动对现金及现金等价物的影响(万元),0,2,2,-3,-6,13, 
 现金及现金等价物净增加额(万元),875,35,1765,-253,-5644,335, 
 加:期初现金及现金等价物余额(万元),514,479,479,733,6377,6042, 
 期末现金及现金等价物余额(万元),1389,514,2245,479,733,6377, 
 净利润(万元),4313,2639,1259,3374,3166,4209, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),499,103,91,18,253,130, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),6459,6586,3244,3797,3305,1978, 
 无形资产摊销(万元),52,45,22,47,30,14, 
 长期待摊费用摊销(万元),17,1,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),2,-4,-28,-2,4,2, 
 固定资产报废损失(万元),--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),2110,2986,1620,1436,1374,640, 
 投资损失(万元),-4,-12,-12,-62,-228,-1, 
 递延所得税资产减少(万元),-110,24,16,-13,-50,30, 
 递延所得税负债增加(万元),--,--,--,--,--,--, 
 存货的减少(万元),-67,158,129,-200,-297,-63, 
 经营性应收项目的减少(万元),681,-1394,-765,1262,-2696,407, 
 经营性应付项目的增加(万元),-1119,-3887,-1668,-3911,-1627,-4374, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),429,518,418,322,454,310, 
 经营活动产生现金流量净额(万元),13261,7762,4324,6068,3690,3281, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),1389,514,2245,479,733,6377, 
 现金的期初余额(万元),514,479,479,733,6377,6042, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),875,35,1765,-253,-5644,335, 

