 报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),259,1166,--,738,822,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1590,4598,--,3421,2399,--, 
 无形资产摊销(万元),37,94,--,40,43,--, 
 长期待摊费用摊销(万元),210,884,--,627,350,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--, 
 固定资产报废损失(万元),-20,-14,--,30,101,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),-980,-3222,--,-4060,-4097,--, 
 投资损失(万元),-527,-675,--,-593,-299,--, 
 递延所得税资产减少(万元),-73,197,--,-253,-354,--, 
 递延所得税负债增加(万元),11,-275,--,517,360,--, 
 存货的减少(万元),-2651,-10411,--,-5808,-3333,--, 
 经营性应收项目的减少(万元),3546,-11568,--,-3997,-7776,--, 
 经营性应付项目的增加(万元),-28060,35907,--,10923,14200,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-21217,76543,--,48746,40346,--, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),11960,21326,20691,22855,11155,6367, 
 现金的期初余额(万元),21326,22855,22855,11155,6367,6782, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-9367,-1528,-2163,11699,4788,-415, 

