报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),3455,4039,3085,3023,3510,3483,3040,3239,
应交税费(万元),1637,1662,1487,1127,1004,1343,667,1849,
应付利息(万元),204,221,73,88,57,34,40,30,
应付股利(万元),--,--,--,--,--,280,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),4955,6081,4997,3300,2725,2267,4358,6969,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),6732,8215,7035,6090,5815,2700,762,--,
其他流动负债(万元),2947,3750,4481,3542,4989,4490,6226,4246,
流动负债合计(万元),169509,122751,124659,113302,95110,87156,69814,60409,
长期借款(万元),25600,25600,11700,10200,9000,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),4592,5135,6149,6070,5764,2316,1069,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),446,446,198,158,196,19,--,--,
长期递延收益(万元),3400,3159,2312,2329,1717,791,309,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),152,162,402,207,8,3,--,--,
非流动负债合计(万元),34191,34502,20761,18965,16686,3129,1378,0,
负债合计(万元),203699,157253,145419,132267,111796,90285,71192,60409,
实收资本(或股本)(万元),42609,42000,42000,36000,36000,30000,10000,6700,
资本公积(万元),22770,19540,19668,2651,2817,2752,1546,916,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),1817,1817,1502,1502,1502,303,--,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),18897,17489,16039,13415,6993,5054,5520,1747,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),86094,80847,79208,53567,47312,38109,17066,9363,
少数股东权益(万元),18377,15708,15147,14133,12063,6429,4428,1273,
所有者权益(或股东权益)合计(万元),104471,96555,94356,67700,59375,44539,21494,10635,
负债和所有者权益(或股东权益)总计(万元),308170,253808,239775,199967,171171,134823,92686,71045,		
