报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
固定资产净值(万元),--,9850,--,7529,7170,6948,5406,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),9628,9850,7406,7529,7170,6948,5406,5099,
在建工程(万元),1546,858,2895,2398,2630,653,352,--,
工程物资(万元),--,--,0,--,--,--,--,--,
固定资产清理(万元),--,--,0,--,--,--,--,--,
生产性生物资产(万元),506,501,569,537,499,431,288,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,0,--,--,--,--,--,
无形资产(万元),1801,1819,1825,1843,1878,1951,2031,2107,
开发支出(万元),--,--,0,--,--,--,--,--,
商誉(万元),--,--,0,--,--,--,--,--,
长期待摊费用(万元),--,--,4,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),2060,2058,1783,1713,1605,1474,316,164,
其他非流动资产(万元),245,245,245,381,245,--,--,--,
非流动资产合计(万元),16448,15988,14985,14678,14312,11783,8732,7719,
资产总计(万元),190278,190875,187861,108640,103922,87249,80137,44107,
短期借款(万元),--,--,0,--,--,--,--,--,
向中央银行借款(万元),--,--,0,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,0,--,--,--,--,--,
拆入资金(万元),--,--,0,--,--,--,--,--,
交易性金融负债(万元),--,--,0,--,--,--,--,--,
衍生金融负债(万元),--,--,0,--,--,--,--,--,
应付票据(万元),--,--,0,--,--,--,--,--,
应付账款(万元),616,802,437,714,683,591,758,440,
预收账款(万元),301,702,760,1423,1501,1434,2369,591,
卖出回购金融资产款(万元),--,--,0,--,--,--,--,--,
应付手续费及佣金(万元),--,--,0,--,--,--,--,--,
应付职工薪酬(万元),421,812,199,457,600,629,319,175,
应交税费(万元),1407,2002,914,1227,1365,956,749,926,
应付利息(万元),--,--,0,--,--,--,--,--,
应付股利(万元),--,--,0,--,--,273,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),19336,21237,23578,26523,28428,23066,21993,16224,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,0,--,--,--,--,--,
保险合同准备金(万元),--,--,0,--,--,--,--,--,
代理买卖证券款(万元),--,--,0,--,--,--,--,--,
代理承销证券款(万元),--,--,0,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,0,--,--,--,--,--,
其他流动负债(万元),--,--,0,--,--,--,--,--,
流动负债合计(万元),22081,25555,25888,30344,32577,26949,26189,18356,
长期借款(万元),--,--,0,--,--,--,--,--,
应付债券(万元),--,--,0,--,--,--,--,--,
长期应付款(万元),245,245,245,245,245,--,--,--,
专项应付款(万元),--,--,0,--,--,--,--,--,
预计非流动负债(万元),--,--,0,--,--,--,--,--,
长期递延收益(万元),717,749,782,812,747,604,289,286,
递延所得税负债(万元),13,14,14,15,17,21,--,--,
其他非流动负债(万元),--,--,0,--,--,--,--,--,
非流动负债合计(万元),975,1008,1042,1072,1009,625,289,286,
负债合计(万元),23056,26562,26930,31417,33587,27574,26478,18642,
实收资本(或股本)(万元),10336,10336,10336,7752,7752,7752,7592,6430,
资本公积(万元),98961,98961,99060,21824,21824,21637,19048,3056,
减:库存股(万元),--,--,0,--,--,--,--,--,
专项储备(万元),--,--,0,--,--,--,--,--,
盈余公积(万元),5326,5326,3876,3876,3876,3556,2702,1589,
一般风险准备(万元),--,--,0,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),51363,49019,47097,43185,36231,26659,24113,14235,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),165986,163642,160368,76636,69682,59604,53456,25310,
少数股东权益(万元),1235,671,563,587,653,72,204,154,
所有者权益(或股东权益)合计(万元),167222,164313,160931,77223,70335,59676,53659,25464,
负债和所有者权益(或股东权益)总计(万元),190278,190875,187861,108640,103922,87249,80137,44107,		
