 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2013-06-30,2012-12-31, 
 固定资产报废损失(万元),--,-1,-2,--,-4,0,2,--,--,--, 
 公允价值变动损失(万元),--,546,-840,--,255,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,21120,17763,--,11631,11941,4231,--,--,--, 
 投资损失(万元),--,-296,-296,--,-71,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-11489,-5794,--,-11865,-5088,359,-3320,--,82, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,-812603,516578,--,677502,568233,583513,-410450,--,-420040, 
 经营性应付项目的增加(万元),--,773971,-536098,--,-954206,-617630,-810710,344657,--,407168, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,113357,101528,--,-137997,63304,-139249,323,--,35981, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),73601,38891,75173,76835,40471,52574,34375,31748,22936,47612, 
 现金的期初余额(万元),38891,40471,40471,40471,52574,34375,31406,47612,47612,21844, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),34710,-1580,34701,36363,-12103,18200,2968,-15864,-24676,25768, 

