报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
盈余公积(万元),4056,4056,3364,3364,3364,3364,2748,2748,2748,2181,1466,679,415,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),25349,24606,21949,20334,19453,19277,17704,16680,13715,11483,8006,2390,3603,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),65202,64277,60928,59314,58432,58256,27981,26957,23990,21185,16986,10557,6221,
少数股东权益(万元),3826,3801,3429,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),69028,68078,64357,59314,58432,58256,27981,26957,23990,21185,16986,10557,6221,
负债和所有者权益(或股东权益)总计(万元),79583,75757,70891,64993,62928,64485,32562,31745,29768,24713,20103,15605,7665,		
