 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 筹资活动现金流出小计(万元),1899,54390,9826,4419,98877,191879,112982, 
 筹资活动产生的现金流量净额(万元),5096,-1670,594,1101,-26581,4629,-2733, 
 汇率变动对现金及现金等价物的影响(万元),-657,-690,-283,-110,985,1350,-282, 
 现金及现金等价物净增加额(万元),-546,2234,1818,419,-6723,6913,-630, 
 加:期初现金及现金等价物余额(万元),4761,2531,2531,2531,9254,2342,2971, 
 期末现金及现金等价物余额(万元),4214,4765,4349,2950,2531,9254,2342, 
 净利润(万元),--,12211,--,--,8288,7925,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-126,--,--,1001,594,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,5613,--,--,4511,3916,--, 
 无形资产摊销(万元),--,250,--,--,271,180,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-35,--,--,9,618,--, 
 固定资产报废损失(万元),--,42,--,--,185,21,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,2917,--,--,1403,2277,--, 
 投资损失(万元),--,23,--,--,-685,-2508,--, 
 递延所得税资产减少(万元),--,-30,--,--,-440,-468,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,-99,--,--,-6926,2010,--, 
 经营性应收项目的减少(万元),--,-5718,--,--,6379,-21295,--, 
 经营性应付项目的增加(万元),--,3185,--,--,-1162,20157,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,1024,845,--, 
 经营活动产生现金流量净额(万元),--,18234,--,--,13857,14270,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),4214,4765,4349,2950,2531,9254,2342, 
 现金的期初余额(万元),4761,2531,2531,2531,9254,2342,2971, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-546,2234,1818,419,-6723,6913,-630, 

