 报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 投资活动现金流入小计(万元),24271,67288,8459,34753,16509,42876, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),15277,61890,22923,85255,34232,34826, 
 投资所支付的现金(万元),--,6365,--,24408,1232,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),22301,--,4176,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,20500,--, 
 投资活动现金流出小计(万元),37578,105385,27099,144857,67538,74546, 
 投资活动产生的现金流量净额(万元),-13307,-38096,-18639,-110104,-51029,-31670, 
 吸收投资收到的现金(万元),--,2664,1492,9325,30547,99241, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,2664,1492,9325,5418,10000, 
 取得借款收到的现金(万元),24560,116436,74541,349871,472809,316182, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),24560,119100,76033,359196,503356,415423, 
 偿还债务支付的现金(万元),18100,193879,93154,427495,486163,227628, 
 分配股利、利润或偿付利息所支付的现金(万元),909,23279,1312,17483,18832,65565, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3130,--,--,--,1678,2619, 
 筹资活动现金流出小计(万元),22139,217158,94467,444978,506674,295812, 
 筹资活动产生的现金流量净额(万元),2421,-98058,-18434,-85782,-3318,119611, 
 汇率变动对现金及现金等价物的影响(万元),898,-439,51,3209,2636,-120, 
 现金及现金等价物净增加额(万元),-36571,37194,-58707,-61955,3617,110458, 
 加:期初现金及现金等价物余额(万元),179951,142758,162758,204712,201095,90638, 
 期末现金及现金等价物余额(万元),143380,179951,104051,142758,204712,201095, 
 净利润(万元),--,123458,--,69370,55048,--, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),--,11733,--,1327,3505,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,17326,--,13253,11603,--, 
 无形资产摊销(万元),--,3006,--,2707,845,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,273,--,208,219,--, 
 固定资产报废损失(万元),--,--,--,--,--,--, 
 公允价值变动损失(万元),--,-24,--,10,59,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),--,4799,--,7755,11476,--, 
 投资损失(万元),--,-16109,--,-11027,-8286,--, 
 递延所得税资产减少(万元),--,537,--,-4423,591,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--, 
 存货的减少(万元),--,-10227,--,1862,839,--, 
 经营性应收项目的减少(万元),--,-38883,--,-1169,-38219,--, 
 经营性应付项目的增加(万元),--,77899,--,50848,20644,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,173787,--,130722,55328,--, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),143380,179951,104051,142258,204712,201095, 
 现金的期初余额(万元),179951,142258,162758,204712,201095,90638, 
 现金等价物的期末余额(万元),--,--,--,500,--,--, 
 现金等价物的期初余额(万元),--,500,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-36571,37194,-58707,-61955,3617,110458, 

