 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,--,1998,--,--,1904,1586,1332, 
 无形资产摊销(万元),--,--,271,--,--,225,126,100, 
 长期待摊费用摊销(万元),--,--,147,--,--,175,29,71, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,-81,--,--,15,100,12, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,883,--,--,-428,-154,174, 
 投资损失(万元),--,--,-194,--,--,-1325,-283,-71, 
 递延所得税资产减少(万元),--,--,-7,--,--,7,-13,-3, 
 递延所得税负债增加(万元),--,--,-57,--,--,-51,-24,-36, 
 存货的减少(万元),--,--,-1452,--,--,-581,51,-71, 
 经营性应收项目的减少(万元),--,--,-4456,--,--,-10555,-7175,-4250, 
 经营性应付项目的增加(万元),--,--,7190,--,--,2949,1480,2104, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),--,--,1727,--,--,3597,2264,103, 
 经营活动产生现金流量净额(万元),--,--,14344,--,--,1520,3421,5217, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),9530,16183,18617,19212,10794,10084,10185,3992, 
 现金的期初余额(万元),18800,18617,10084,10084,10084,10185,3992,3190, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-9269,-2434,8533,9128,710,-101,6193,802, 

