 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 期末现金及现金等价物余额(万元),87860,94736,3061,6887,10205,13200,12600,10865,2711,11458, 
 净利润(万元),--,17404,14061,8206,--,15471,5706,9474,6865,3724, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,159,354,108,--,148,159,182,-45,282, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,8714,6349,4131,--,6677,3129,6028,5521,5120, 
 无形资产摊销(万元),--,114,84,55,--,89,55,61,39,39, 
 长期待摊费用摊销(万元),--,591,476,189,--,463,311,259,75,77, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-62,-203,-71,--,547,-46,29,-61,-41, 
 固定资产报废损失(万元),--,--,--,--,--,--,340,-38,165,27, 
 公允价值变动损失(万元),--,318,553,394,--,-318,--,-16,16,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,110,590,394,--,270,127,517,314,263, 
 投资损失(万元),--,144,68,-43,--,-22,-33,2,--,--, 
 递延所得税资产减少(万元),--,-155,-212,-136,--,-55,-120,-70,15,-108, 
 递延所得税负债增加(万元),--,-28,-48,-48,--,48,-8,--,--,--, 
 存货的减少(万元),--,-329,-851,-1331,--,-1515,-71,-117,-135,633, 
 经营性应收项目的减少(万元),--,4492,-4548,2467,--,21509,-8287,-10319,-2442,5858, 
 经营性应付项目的增加(万元),--,-3026,-339,3401,--,-28566,3370,4597,159,4740, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,28446,16336,17715,--,14746,4632,10588,10488,20616, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),87860,94736,3061,6887,10205,13200,12600,10865,2711,11458, 
 现金的期初余额(万元),94736,13200,13200,13200,13200,10865,10865,2711,11458,4003, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-6876,81536,-10138,-6313,-2995,2335,1735,8154,-8747,7455, 

