报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
非流动负债合计(万元),2707,2765,3381,2142,1707,1820,1470,
负债合计(万元),43990,39695,42232,36028,29218,24844,9833,
实收资本(或股本)(万元),11451,8588,8588,8588,8588,8000,2041,
资本公积(万元),60589,32822,32822,32822,32822,4866,1603,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),3020,3020,3020,2109,2109,835,1,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),29036,28390,25577,22905,17338,5980,-1153,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),104097,72821,70007,66425,60857,19681,2491,
少数股东权益(万元),--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),104097,72821,70007,66425,60857,19681,2491,
负债和所有者权益(或股东权益)总计(万元),148087,112515,112239,102453,90075,44526,12324,		
  
