 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 支付其他与筹资活动有关的现金(万元),4187,10805,11495,14279,10199,31574,38374,32263,33663,17141,20752,39098, 
 筹资活动现金流出小计(万元),29101,145948,119358,94301,44995,261429,189490,317371,176483,305401,249800,269058, 
 筹资活动产生的现金流量净额(万元),-3914,2432,25657,-14211,-13502,-61185,-63879,-40205,-15425,-21557,24539,25674, 
 汇率变动对现金及现金等价物的影响(万元),-130,-325,-239,-110,-93,343,-5,-73,2,107,279,74, 
 现金及现金等价物净增加额(万元),17148,-3466,46419,-8669,-14402,13430,-5085,2957,-1814,-7280,5993,-7860, 
 加:期初现金及现金等价物余额(万元),29827,33293,33293,33293,33293,19863,19863,16906,16906,24186,18192,26053, 
 期末现金及现金等价物余额(万元),46974,29827,79712,24623,18891,33293,14778,19863,15091,16906,24186,18192, 
 净利润(万元),--,36652,--,20115,--,22756,--,4140,--,8064,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,973,--,1147,--,1815,--,5190,--,2910,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,16832,--,8376,--,17115,--,17338,--,15889,--,--, 
 无形资产摊销(万元),--,332,--,176,--,300,--,340,--,363,--,--, 
 长期待摊费用摊销(万元),--,215,--,75,--,147,--,58,--,62,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,54,--,35,--,316,--,12,--,103,--,--, 
 固定资产报废损失(万元),--,32,--,29,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,100,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3769,--,2246,--,7050,--,11481,--,10548,--,--, 
 投资损失(万元),--,94,--,92,--,-218,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,776,--,259,--,368,--,-330,--,-627,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-10448,--,-8650,--,10164,--,12423,--,-1921,--,--, 
 经营性应收项目的减少(万元),--,17226,--,-20009,--,22275,--,3527,--,-18198,--,--, 
 经营性应付项目的增加(万元),--,-19806,--,10444,--,-1798,--,-6713,--,4598,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-180,--,-188,--,-373,--,-222,--,-347,--,--, 
 经营活动产生现金流量净额(万元),--,46520,--,14246,--,79916,--,47243,--,21443,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),46974,29827,79712,24623,18891,33293,14778,19863,15091,16906,24186,18192, 
 现金的期初余额(万元),29827,33293,33293,33293,33293,19863,19863,16906,16906,24186,18192,26053, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),17148,-3466,46419,-8669,-14402,13430,-5085,2957,-1814,-7280,5993,-7860, 

