报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
长期借款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),3134,3140,3562,3371,3484,3797,3834,3672,2914,1894,875,741,511,271,
长期递延收益(万元),1807,1879,1427,1030,862,942,932,944,877,318,--,298,--,--,
递延所得税负债(万元),368,373,386,384,870,1409,318,459,165,118,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,273,--,281,305,
非流动负债合计(万元),5309,5392,5375,4784,5216,6149,5083,5075,3956,2330,1148,1039,792,576,
负债合计(万元),240792,243038,301263,167855,137332,161140,186047,129150,124295,81890,71452,75385,42061,23617,
实收资本(或股本)(万元),40679,40631,40631,40631,40350,36300,36300,36300,6600,6600,6600,6600,3300,3300,
资本公积(万元),88825,83477,81344,80837,67372,0,--,--,4569,4576,4576,4576,7876,7876,
减:库存股(万元),14967,13402,13402,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),9818,9818,7144,7144,7144,7144,3300,3300,3300,3300,1834,1834,752,8,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),143011,130226,123421,94773,91905,80738,69889,55895,66370,37702,27538,21530,6224,-147,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,-9,--,-2,-1,
归属于母公司股东权益合计(万元),267222,250791,239253,223585,207056,124494,109676,95658,80943,52165,40539,34526,18150,11036,
少数股东权益(万元),637,1347,1363,357,390,349,283,88,216,352,140,111,--,--,
所有者权益(或股东权益)合计(万元),267859,252138,240616,223942,207446,124843,109959,95746,81159,52517,40679,34638,18150,11036,
负债和所有者权益(或股东权益)总计(万元),508651,495175,541879,391797,344778,285982,296006,224896,205454,134407,112132,110022,60210,34653,		
