 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 资产减值准备(万元),--,54,--,--,30,11,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1210,--,--,1075,652,--,--, 
 无形资产摊销(万元),--,329,--,--,212,64,--,--, 
 长期待摊费用摊销(万元),--,1668,--,--,1107,1194,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,25,--,--,18,1,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,143,--,--,--, 
 投资损失(万元),--,-220,--,--,-101,-122,--,--, 
 递延所得税资产减少(万元),--,-440,--,--,-104,19,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-2375,--,--,-3764,-5674,--,--, 
 经营性应收项目的减少(万元),--,-4235,--,--,164,-2832,--,--, 
 经营性应付项目的增加(万元),--,4355,--,--,5148,4259,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,10826,--,--,12078,4168,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),48286,11648,12026,3936,7497,753,1454,3069, 
 现金的期初余额(万元),11648,7497,7497,7591,753,1454,3069,4606, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),36638,4151,4529,-3656,6743,-700,-1615,-1538, 

