 报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 经营性应付项目的增加(万元),-247,-696,-58,310,-119,507,153,227,495,493,92,-47, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),-11,--,--,--,--,452,-1,--,-1,--,-1,--, 
 经营活动产生现金流量净额(万元),107,4650,1882,5886,2320,4502,1622,1671,908,630,103,-48, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),7622,12466,6461,8859,6786,9728,5003,1054,2812,645,99,63, 
 现金的期初余额(万元),12466,8859,8859,9728,9728,1054,1054,645,645,99,63,69, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-4845,3607,-2398,-869,-2943,8674,3948,409,2167,546,37,-6, 

