报告日期,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
商誉(万元),26,26,--,--,--,--,--,
长期待摊费用(万元),15,19,72,44,38,44,58,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),176,121,272,622,567,468,479,
其他非流动资产(万元),--,--,--,--,--,940,940,
非流动资产合计(万元),20764,21160,20643,17499,17620,17786,19061,
资产总计(万元),88967,90875,81549,88108,82807,66790,55688,
短期借款(万元),--,--,600,2421,4631,1830,2000,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),28285,32101,27435,33638,32981,15129,10698,
应付账款(万元),13778,11535,12542,11731,8499,16638,11017,
预收账款(万元),4,38,7,51,10,21,3,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),268,312,655,112,400,123,124,
应交税费(万元),699,141,47,1071,413,78,196,
应付利息(万元),--,--,--,--,--,--,3,
应付股利(万元),--,405,405,1300,1308,1029,1149,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),38,40,9,12,9,159,22,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),43072,44573,41699,50336,48250,35007,25213,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,0,
负债合计(万元),43072,44573,41699,50336,48250,35007,25213,
实收资本(或股本)(万元),9000,9000,9000,9000,9000,9000,9000,
资本公积(万元),2108,2108,2157,959,2111,959,957,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),3707,3707,3133,2500,2385,1712,1629,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),28092,28407,22767,23347,19330,17805,16897,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),42907,43222,37057,35806,32826,29477,28484,
少数股东权益(万元),2987,3081,2793,1966,1731,2306,1991,
所有者权益(或股东权益)合计(万元),45895,46302,39850,37772,34557,31782,30475,
负债和所有者权益(或股东权益)总计(万元),88967,90875,81549,88108,82807,66790,55688,		
  
