 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31, 
 支付给职工以及为职工支付的现金(万元),3599,14188,10990,7577,4237,13240,10036,6600,12123,3143,10060,7847,5738, 
 支付的各项税费(万元),1883,9323,6950,5406,2792,7872,5794,3577,6145,1452,6252,4579,3874, 
 支付的其他与经营活动有关的现金(万元),3728,10721,8722,5653,2182,9956,8089,5656,8270,2308,6856,7307,7169, 
 经营活动现金流出小计(万元),35637,118375,93679,64098,33600,98719,77588,47767,83645,21993,59214,57749,56622, 
 经营活动产生的现金流量净额(万元),-12994,-17542,-22463,-16587,-10844,11542,-2817,421,7054,-2427,5472,1798,2205, 
 收回投资所收到的现金(万元),13000,18000,--,--,--,--,--,--,--,--,--,--,278, 
 取得投资收益所收到的现金(万元),51,141,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,2027,2082,2082,2082,0,--,--,3,3,--,82,31, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),13052,20168,2082,2082,2082,0,0,0,3,3,0,82,308, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1475,3382,3031,2167,654,3869,2547,2056,3398,880,3978,8129,3026, 
 投资所支付的现金(万元),12500,26000,12000,--,--,--,--,--,--,--,--,--,112, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,30,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),13975,29412,15031,2167,654,3869,2547,2056,3398,880,3978,8129,3138, 
 投资活动产生的现金流量净额(万元),-923,-9244,-12949,-85,1428,-3869,-2547,-2056,-3394,-878,-3978,-8047,-2829, 
 吸收投资收到的现金(万元),--,39509,34720,34720,--,--,--,--,--,--,--,2908,7500, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),3000,7200,4200,4200,3000,13300,7300,5500,11500,--,11800,9500,5510, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2000,230,230,--,--,3000,3000,--,150,--,--,--,--, 
 筹资活动现金流入小计(万元),5000,46939,39150,38920,3000,16300,10300,5500,11650,0,11800,12408,13010, 
 偿还债务支付的现金(万元),--,18003,15003,10803,7003,13797,8600,5600,12000,--,9500,4900,6410, 
 分配股利、利润或偿付利息所支付的现金(万元),96,255,230,214,125,844,689,367,691,191,1196,1147,2639, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),50,4115,3859,629,84,129,108,57,136,9,293,25,16, 
 筹资活动现金流出小计(万元),146,22373,19092,11646,7213,14770,9396,6024,12827,200,10989,6073,9066, 
 筹资活动产生的现金流量净额(万元),4854,24567,20057,27273,-4213,1530,904,-524,-1177,-200,811,6336,3944, 
 汇率变动对现金及现金等价物的影响(万元),-14,-18,-13,-8,2,9,4,3,22,1,4,-11,-1, 
 现金及现金等价物净增加额(万元),-9077,-2238,-15368,10594,-13627,9213,-4457,-2155,2505,-3505,2309,75,3320, 
 加:期初现金及现金等价物余额(万元),17825,20063,20063,20063,20063,10850,10850,10850,8345,8345,6036,5961,2641, 
 期末现金及现金等价物余额(万元),8748,17825,4695,30656,6436,20063,6394,8695,10850,4840,8345,6036,5961, 
 净利润(万元),--,7355,--,4551,--,8395,--,3853,4749,--,3325,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1722,--,1034,--,793,--,762,350,--,1043,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1559,--,768,--,1193,--,591,950,--,719,--,--, 
 无形资产摊销(万元),--,163,--,79,--,122,--,82,156,--,153,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,17,--,--,--,-1885,--,--,54,--,5,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,347,--,214,--,844,--,367,699,--,712,--,--, 
 投资损失(万元),--,-141,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-201,--,-48,--,-129,--,-94,-71,--,-151,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,10660,--,7058,--,2522,--,574,-1818,--,-5736,--,--, 
 经营性应收项目的减少(万元),--,-28203,--,-14974,--,-4268,--,-10463,-7671,--,-9420,--,--, 
 经营性应付项目的增加(万元),--,-10820,--,-15270,--,3956,--,4750,9655,--,14822,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-17542,--,-16587,--,11542,--,421,7054,--,5472,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),8748,17825,4695,30656,6436,20063,6394,8695,10850,4840,8345,6036,5961, 
 现金的期初余额(万元),17825,20063,20063,20063,20063,10850,10850,10850,8345,8345,6036,5961,2641, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-9077,-2238,-15368,10594,-13627,9213,-4457,-2155,2505,-3505,2309,75,3320, 

