 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 偿还债务支付的现金(万元),34909,8745,39963,18843,9601,11549,4588,60331,31335,57848,56467,38357, 
 分配股利、利润或偿付利息所支付的现金(万元),1785,746,6021,4467,555,3460,2814,1875,1128,2117,1816,1833, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),5833,4838,510,458,297,6261,34,862,58,1017,--,101, 
 筹资活动现金流出小计(万元),42527,14329,46493,23768,10453,21270,7436,63068,32520,60982,58283,40291, 
 筹资活动产生的现金流量净额(万元),53799,-1380,25060,11811,971,21321,6524,2945,-6547,-2745,203,9331, 
 汇率变动对现金及现金等价物的影响(万元),-56,-11,19,60,77,239,197,615,22,-39,-113,12, 
 现金及现金等价物净增加额(万元),34920,-4061,11163,1174,-4054,-5604,-4970,4181,-4705,1918,3029,-1385, 
 加:期初现金及现金等价物余额(万元),16254,16254,5091,5091,5091,10694,10694,6513,6513,4595,1566,2951, 
 期末现金及现金等价物余额(万元),51173,12192,16254,6265,1036,5091,5724,10694,1808,6513,4595,1566, 
 净利润(万元),6008,--,15530,7037,--,15470,5727,15054,6309,7884,7536,2959, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),1505,--,2302,1471,--,1071,167,1200,145,575,350,432, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),6863,--,12073,5764,--,8036,4277,8262,4090,7914,6944,5943, 
 无形资产摊销(万元),130,--,229,112,--,211,103,135,65,111,105,147, 
 长期待摊费用摊销(万元),2004,--,3401,1752,--,2410,787,1345,663,2644,1433,63, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-32,--,1,31,--,-5,57,-95,32,-16,-22,-428, 
 固定资产报废损失(万元),40,--,121,--,--,75,--,92,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,-21,119,119,-119,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),2172,--,1760,1143,--,1330,464,1956,1191,2242,1965,1907, 
 投资损失(万元),--,--,--,--,--,-36,--,-160,-149,-640,-8,--, 
 递延所得税资产减少(万元),-774,--,-1651,-699,--,-250,54,-345,-193,-38,338,-120, 
 递延所得税负债增加(万元),-1,--,-3,-2,--,-7,-1,-8,9,25,--,--, 
 存货的减少(万元),-2603,--,-1731,27,--,-5712,-2856,-534,62,-2138,898,1378, 
 经营性应收项目的减少(万元),4774,--,-7106,-1447,--,-2818,4246,41,-1839,-1174,-5840,-6342, 
 经营性应付项目的增加(万元),-14818,--,-2167,-5547,--,12420,-693,-7406,-297,-3452,-1315,3369, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),5268,--,22756,9642,--,32194,12311,19656,10208,13818,12384,9309, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),51173,12192,16254,6265,1036,5091,5724,10694,1808,6513,4595,1566, 
 现金的期初余额(万元),16254,16254,5091,5091,5091,10694,10694,6513,6513,4595,1566,2951, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),34920,-4061,11163,1174,-4054,-5604,-4970,4181,-4705,1918,3029,-1385, 

