 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 分配股利、利润或偿付利息所支付的现金(万元),34,135,65,33,3720,1203,903, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),181,--,--,--,9586,3833,3290, 
 筹资活动现金流出小计(万元),215,3385,1815,183,21766,11992,13669, 
 筹资活动产生的现金流量净额(万元),24702,-285,-215,-183,-6382,-3325,-759, 
 汇率变动对现金及现金等价物的影响(万元),-172,-474,-171,4,478,532,-115, 
 现金及现金等价物净增加额(万元),23971,2991,2465,2303,-279,-572,1179, 
 加:期初现金及现金等价物余额(万元),4730,1739,1739,1739,2019,2591,1412, 
 期末现金及现金等价物余额(万元),28701,4730,4205,4042,1739,2019,2591, 
 净利润(万元),--,4781,2345,--,4256,3778,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,2,--,--,49,52,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1148,--,--,1173,1219,--, 
 无形资产摊销(万元),--,52,--,--,52,52,--, 
 长期待摊费用摊销(万元),--,49,--,--,34,34,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,2,--,--,6,121,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,288,288,--,-288,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,600,232,--,-202,70,--, 
 投资损失(万元),--,10,10,--,-16,-4,--, 
 递延所得税资产减少(万元),--,-36,--,--,13,14,--, 
 递延所得税负债增加(万元),--,-50,--,--,50,--,--, 
 存货的减少(万元),--,-1447,-79,--,472,-1066,--, 
 经营性应收项目的减少(万元),--,-1296,-191,--,-1489,-1172,--, 
 经营性应付项目的增加(万元),--,1603,1165,--,2269,566,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,-73,--,377,--,--, 
 经营活动产生现金流量净额(万元),--,5706,4301,--,6754,3665,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),28701,4730,4205,4042,1739,2019,2591, 
 现金的期初余额(万元),4730,1739,1739,1739,2019,2591,1412, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),23971,2991,2465,2303,-279,-572,1179, 

