报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),67,67,67,67,67,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),34840,36493,34590,33569,32997,10363,11348,13034,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),118830,129445,119316,121780,115571,71355,90633,62803,
长期借款(万元),335506,291409,292397,250913,199370,154634,104001,129943,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),31784,31969,32266,32563,33157,33638,27585,16822,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),1750,1767,1783,1800,1833,--,--,--,
递延所得税负债(万元),5193,2960,2715,2502,1658,398,6264,4339,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),374233,328105,329161,287778,236018,188671,137849,151103,
负债合计(万元),493063,457550,448477,409558,351589,260025,228482,213906,
实收资本(或股本)(万元),104500,104500,104500,104500,104500,104500,104500,70000,
资本公积(万元),62898,62898,62898,62898,62898,62898,62898,8004,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),5638,5638,3351,3354,3351,2238,1459,1459,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),56853,51137,48541,48100,39047,20195,50561,43357,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),228677,223164,218359,218218,209365,188776,217739,121143,
少数股东权益(万元),2524,300,300,300,300,--,--,--,
所有者权益(或股东权益)合计(万元),231200,223464,218659,218518,209665,188776,217739,121143,
负债和所有者权益(或股东权益)总计(万元),724263,681014,667136,628076,561253,448801,446222,335050,		
  
