 报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,6099,0,5000,5100,0, 
 偿还债务支付的现金(万元),2000,--,--,--,2100,--, 
 分配股利、利润或偿付利息所支付的现金(万元),461,2690,--,3000,27,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),41,260,20,--,--,--, 
 筹资活动现金流出小计(万元),2502,2950,20,3000,2127,0, 
 筹资活动产生的现金流量净额(万元),-2502,3149,-20,2000,2973,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-4297,6835,-7822,1955,10361,578, 
 加:期初现金及现金等价物余额(万元),19880,13045,13045,11089,728,150, 
 期末现金及现金等价物余额(万元),15583,19880,5223,13045,11089,728, 
 净利润(万元),--,13899,--,5486,1351,967, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),--,583,--,-108,5,274, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,407,--,179,87,113, 
 无形资产摊销(万元),--,193,--,88,1,--, 
 长期待摊费用摊销(万元),--,205,--,180,132,21, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,-991,-146, 
 固定资产报废损失(万元),--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),--,97,--,4,27,--, 
 投资损失(万元),--,-124,--,-7,--,--, 
 递延所得税资产减少(万元),--,-123,--,3,-24,-69, 
 递延所得税负债增加(万元),--,--,--,--,--,--, 
 存货的减少(万元),--,-5011,--,1661,-3459,110, 
 经营性应收项目的减少(万元),--,-11485,--,3204,951,-4847, 
 经营性应付项目的增加(万元),--,3725,--,-4783,4667,4313, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),--,--,--,2880,3413,--, 
 经营活动产生现金流量净额(万元),--,2367,--,8786,6161,737, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),15583,19880,5223,13045,11089,728, 
 现金的期初余额(万元),19880,13045,13045,11089,728,150, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-4297,6835,-7822,1955,10361,578, 

