报告日期,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),14990,15200,15422,15644,16087,117,0,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,1472,1472,1472,--,137,
长期待摊费用(万元),89,130,182,236,373,119,142,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),2081,1990,1675,1793,1652,1142,786,
其他非流动资产(万元),3922,3922,3717,--,--,--,0,
非流动资产合计(万元),57487,50414,48381,44036,42318,13172,8923,
资产总计(万元),196202,167238,148744,135020,111553,71987,53524,
短期借款(万元),75490,51578,55298,37655,32516,22339,19282,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),1610,--,--,1110,--,--,--,
应付账款(万元),27040,34115,14623,19964,9957,7641,5398,
预收账款(万元),1908,1382,1849,2142,925,283,438,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),1289,2,973,199,290,--,104,
应交税费(万元),5039,4919,4451,6857,4846,3125,5628,
应付利息(万元),21,38,26,45,14,--,0,
应付股利(万元),--,--,5175,--,1271,1271,1312,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),779,746,824,1512,1086,446,504,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),5200,4500,2600,2000,--,--,0,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),118376,97280,85818,71483,50903,35104,32665,
长期借款(万元),--,2400,5200,6900,4000,--,0,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),982,--,--,--,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,
递延所得税负债(万元),683,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),1665,2400,5200,6900,4000,0,0,
负债合计(万元),120041,99680,91018,78383,54903,35104,32665,
实收资本(或股本)(万元),20700,20700,20700,20700,20700,20700,19200,
资本公积(万元),8643,8643,8643,8643,10043,10043,293,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),4283,3787,3385,2876,1968,872,124,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),41001,33793,24407,23758,16607,5280,1217,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),74627,66922,57134,55977,49317,36895,20833,
少数股东权益(万元),1534,636,592,660,7332,-12,26,
所有者权益(或股东权益)合计(万元),76160,67558,57726,56637,56649,36883,20859,
负债和所有者权益(或股东权益)总计(万元),196202,167238,148744,135020,111553,71987,53524,		
  
