报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
长期借款(万元),--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),14,60,--,228,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),14262,14977,16337,12956,9199,--,--,--,
递延所得税负债(万元),28,28,28,30,31,32,34,35,
其他非流动负债(万元),--,--,--,--,--,7278,7209,2784,
非流动负债合计(万元),14304,15065,16365,13214,9230,7311,7243,2820,
负债合计(万元),30816,32771,34083,35412,29911,20799,22588,19043,
实收资本(或股本)(万元),36030,36030,15280,15280,15280,15280,15280,15280,
资本公积(万元),1827,1827,10078,10078,10078,10078,10078,10078,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,6,--,--,--,--,--,--,
盈余公积(万元),5191,5191,5191,3706,3058,2328,1599,977,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),36583,33143,41639,28753,24276,18502,12707,7471,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),79631,76197,72188,57817,52692,46188,39664,33806,
少数股东权益(万元),93,93,97,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),79724,76290,72286,57817,52692,46188,39664,33806,
负债和所有者权益(或股东权益)总计(万元),110540,109061,106369,93229,82603,66987,62252,52849,		
  
