报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
其他应付款(万元),503,2376,558,559,704,631,1000,451,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),142,139,145,142,138,130,51,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),31332,46477,40754,37820,29953,32864,43139,31903,
长期借款(万元),131,128,206,274,368,379,183,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),902,907,302,306,313,315,323,323,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,621,621,621,621,--,--,
非流动负债合计(万元),1032,1034,1130,1201,1302,1315,506,323,
负债合计(万元),32365,47512,41883,39021,31255,34179,43645,32226,
实收资本(或股本)(万元),13199,13199,9899,9899,9899,9899,8909,8909,
资本公积(万元),48426,48426,15496,15496,15496,15496,12486,12486,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),8358,8358,7808,7808,6807,6807,4920,4607,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),18126,17992,14603,10767,11901,10664,1485,18790,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),87926,87881,47757,43948,44019,42767,27660,43880,
少数股东权益(万元),110,94,148,91,145,114,168,106,
所有者权益(或股东权益)合计(万元),88036,87975,47905,44038,44165,42881,27828,43986,
负债和所有者权益(或股东权益)总计(万元),120401,135487,89788,83059,75420,77060,71473,76212,		
