 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 净利润(万元),46926,419406,202074,2430,291844,95058,5556, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),12772,24474,4918,-781,23386,5864,259, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),41869,127954,47736,28919,73142,16410,4457, 
 无形资产摊销(万元),2277,7510,3149,1466,4800,2499,2266, 
 长期待摊费用摊销(万元),1467,2654,595,194,507,324,6, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),33,7831,228,32,15821,59,10, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),6517,11259,3431,1576,6561,11318,2422, 
 投资损失(万元),-2797,-134431,-124599,-8517,-7608,-146,-1612, 
 递延所得税资产减少(万元),-7003,-24513,-6754,-1805,-12967,-11014,-1981, 
 递延所得税负债增加(万元),--,-260,-100,--,-209,-219,0, 
 存货的减少(万元),-60615,-229018,-264168,-115707,-32017,-69792,-22037, 
 经营性应收项目的减少(万元),-241935,-507600,-136677,96265,-1476214,-231559,-31391, 
 经营性应付项目的增加(万元),-128479,516330,208202,11644,1303160,247652,28154, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),1986,12479,0,3657,20708,--,0, 
 经营活动产生现金流量净额(万元),-326983,234075,-61964,19373,210913,66453,-13890, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),378316,478991,30972,16378,116600,51634,5405, 
 现金的期初余额(万元),478991,116600,116600,116600,51634,5405,585, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-100674,362390,-85628,-100222,64966,46229,4820, 

