报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
预收账款(万元),3676,2667,1758,2337,1653,431,239,264,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2573,5012,3077,4131,2734,3431,3681,3308,
应交税费(万元),1380,2532,1850,1720,1667,136,1156,217,
应付利息(万元),--,0,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),1466,26,105,103,112,33,111,45,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),431,209,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),11730,12365,8422,8991,6407,4127,5487,4323,
长期借款(万元),4742,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),--,709,675,770,588,576,690,834,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),704,--,--,--,--,--,--,--,
非流动负债合计(万元),5446,709,675,770,588,576,690,834,
负债合计(万元),17176,13075,9098,9761,6995,4703,6177,5157,
实收资本(或股本)(万元),40001,36000,36000,36000,36000,5000,5000,5000,
资本公积(万元),46670,26753,26753,26753,25676,935,790,607,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),1971,1971,827,827,--,4619,4619,4619,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),22000,19710,11949,7688,2379,53617,64751,55962,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),110642,84435,75529,71268,64051,64171,75160,66188,
少数股东权益(万元),3246,3112,2521,2311,683,-98,-77,--,
所有者权益(或股东权益)合计(万元),113888,87547,78050,73579,64734,64072,75083,66188,
负债和所有者权益(或股东权益)总计(万元),131064,100622,87148,83340,71729,68775,81261,71345,		
  
