 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31, 
 筹资活动产生的现金流量净额(万元),75146,15128,-191134,-135669,-238280,69962,-201543,-183865,-153947,910187,854689,134787, 
 汇率变动对现金及现金等价物的影响(万元),-198,-61,6,-24,--,51,--,15,--,37,--,--, 
 现金及现金等价物净增加额(万元),238796,-1097906,-807856,-255769,-373133,-537914,-957789,-598159,-552590,1268145,2964606,891992, 
 加:期初现金及现金等价物余额(万元),1339832,2437737,2437737,2437737,2437737,2975651,2975651,2975651,2975651,1707507,1707507,815514, 
 期末现金及现金等价物余额(万元),1578627,1339832,1629881,2181968,2064605,2437737,2017862,2377492,2423061,2975651,4672112,1707507, 
 净利润(万元),--,106351,--,52678,--,124100,--,54258,--,183434,--,75024, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,5752,--,-960,--,936,--,300,--,8096,--,1825, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,6989,--,3436,--,6365,--,3104,--,5637,--,3388, 
 无形资产摊销(万元),--,1907,--,925,--,1664,--,838,--,1651,--,1331, 
 长期待摊费用摊销(万元),--,1325,--,623,--,1458,--,768,--,1783,--,2573, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,108,--,47,--,61,--,20,--,25,--,46, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,3186,--,-7251,--,8905,--,4516,--,-3703,--,-4428, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,48616,--,36613,--,55059,--,28498,--,46771,--,6668, 
 投资损失(万元),--,-698,--,-672,--,-917,--,-349,--,161,--,806, 
 递延所得税资产减少(万元),--,3311,--,-324,--,-2316,--,-11787,--,-11631,--,-7092, 
 递延所得税负债增加(万元),--,435,--,1574,--,-2146,--,-698,--,704,--,1376, 
 存货的减少(万元),--,--,--,-4934,--,--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,-515974,--,30431,--,107646,--,-52810,--,-572032,--,-870503, 
 经营性应付项目的增加(万元),--,-310282,--,7051,--,-472060,--,-100398,--,864019,--,1700795, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,-230474,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-1100741,--,-111239,--,-589125,--,-404292,--,363997,--,823575, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),1578627,1339832,1629881,2181968,2064605,2437737,2017862,2377492,2423061,2975651,4672112,1707507, 
 现金的期初余额(万元),1339832,2437737,2437737,2437737,2437737,2975651,2975651,2975651,2975651,1707507,1707507,815514, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),238796,-1097906,-807856,-255769,-373133,-537914,-957789,-598159,-552590,1268145,2964606,891992, 

