 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 筹资活动现金流入小计(万元),468360,265329,529594,404113,190819,705181,733486,778049, 
 偿还债务支付的现金(万元),275536,165527,356106,211139,103630,305200,416368,483164, 
 分配股利、利润或偿付利息所支付的现金(万元),12940,3728,23209,15656,4495,11117,12858,13596, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),92872,91282,172924,169201,89721,347358,350358,320196, 
 筹资活动现金流出小计(万元),381347,260537,552239,395996,197847,663676,779585,816955, 
 筹资活动产生的现金流量净额(万元),87012,4792,-22645,8117,-7028,41505,-46099,-38906, 
 汇率变动对现金及现金等价物的影响(万元),316,-1923,-5895,-873,-697,3588,4407,-1397, 
 现金及现金等价物净增加额(万元),34885,-3537,-22797,-29348,-23265,35329,11533,-831, 
 加:期初现金及现金等价物余额(万元),42832,42832,65629,65629,65629,30300,18767,19598, 
 期末现金及现金等价物余额(万元),77717,39295,42832,36281,42364,65629,30300,18767, 
 净利润(万元),10540,--,27988,9729,--,33816,16451,9009, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),2360,--,745,1067,--,-79,-864,793, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),10928,--,20847,10367,--,18639,16926,14480, 
 无形资产摊销(万元),145,--,425,210,--,407,325,304, 
 长期待摊费用摊销(万元),698,--,1099,469,--,751,482,442, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-1475,--,289,244,--,130,1,-72, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),31,--,-155,-690,--,832,477,279, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),7746,--,20191,9425,--,6003,8244,15229, 
 投资损失(万元),2879,--,178,478,--,504,-4881,29, 
 递延所得税资产减少(万元),-370,--,16,123,--,-74,-77,85, 
 递延所得税负债增加(万元),--,--,--,0,--,--,--,-13, 
 存货的减少(万元),21729,--,-27273,-6490,--,-38110,6969,-6194, 
 经营性应收项目的减少(万元),-75109,--,1989,2020,--,37747,11197,-10240, 
 经营性应付项目的增加(万元),-3551,--,-52068,-58806,--,-101563,17462,59855, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),-6,--,-125,-62,--,-172,-21,294, 
 经营活动产生现金流量净额(万元),-23453,--,-5855,-31916,--,-41168,72691,84280, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),77717,39295,42832,36281,42364,65629,30300,18767, 
 现金的期初余额(万元),42832,42832,65629,65629,65629,30300,18767,19598, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),34885,-3537,-22797,-29348,-23265,35329,11533,-831, 

