报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),11194,12141,12536,12092,10179,8075,7748,7278,2011,2541,1979,1485,
应交税费(万元),1638,3666,2297,2985,2078,2584,2740,1373,1147,2212,2541,1119,
应付利息(万元),--,--,--,--,--,3,14,24,24,32,28,26,
应付股利(万元),--,--,--,--,--,--,--,--,--,2940,--,360,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),829,795,484,409,702,851,1394,680,8514,9009,8274,7649,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,2900,2900,2800,3000,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),21950,22183,19236,20251,16670,18490,24289,22987,24032,34549,24729,22904,
长期借款(万元),--,--,--,--,--,--,--,2900,3000,2800,5800,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),245,275,349,289,289,156,136,210,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),245,275,349,289,289,156,136,3110,3000,2800,5800,0,
负债合计(万元),22195,22458,19585,20540,16958,18646,24425,26097,27032,37349,30529,22904,
实收资本(或股本)(万元),15780,15780,15780,15780,15780,15780,15780,15780,10520,10520,10000,10000,
资本公积(万元),10680,10680,10680,10680,10680,10680,10680,10680,15940,15961,15025,15021,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),5175,5175,4596,4596,4138,3675,3159,2589,1605,1605,1181,560,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),29412,28230,24936,22761,18451,23564,18719,13418,8289,4781,3637,7277,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),61048,59866,55992,53817,49049,53699,48337,42467,36354,32867,29842,32858,
少数股东权益(万元),1413,1390,1324,1293,1225,1208,1173,1129,1049,1025,1000,--,
所有者权益(或股东权益)合计(万元),62461,61255,57316,55110,50274,54908,49511,43596,37404,33892,30842,32858,
负债和所有者权益(或股东权益)总计(万元),84656,83714,76901,75650,67232,73554,73935,69693,64435,71241,61371,55762,		
  
