报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),8682,8770,8889,8927,9065,9426,9756,9415,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),193,246,301,319,431,611,609,752,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),19,25,16,20,14,14,13,48,
其他非流动资产(万元),2670,1077,1160,1058,1149,1108,1310,1233,
非流动资产合计(万元),86037,85997,88553,89513,92603,95367,99141,90517,
资产总计(万元),109459,110534,131534,97581,96480,98900,107012,104229,
短期借款(万元),4000,4000,5000,6000,7000,7000,11000,10850,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,412,70,--,--,--,
应付账款(万元),1932,2757,5712,2440,5404,3677,5404,3210,
预收账款(万元),1887,2124,1836,2320,1819,1316,935,1183,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),613,2533,1109,572,18,20,23,27,
应交税费(万元),2531,2465,2612,1815,2229,1617,1881,1266,
应付利息(万元),--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),1647,713,784,2494,635,370,403,474,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),900,900,--,5000,2000,2500,3900,4500,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),13510,15492,17053,21053,19175,16500,23547,21510,
长期借款(万元),12696,13288,33162,35041,40870,51300,57200,56475,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),110,110,112,112,113,116,118,120,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),12806,13398,33274,35153,40983,51416,57318,56595,
负债合计(万元),26316,28890,50327,56206,60158,67917,80864,78105,
实收资本(或股本)(万元),8000,8000,8000,6000,6000,6000,6000,6000,
资本公积(万元),35576,35576,35576,1831,1831,1831,1831,1831,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),3484,3484,3057,3057,3057,2713,2385,1996,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),30145,28381,28497,24775,20361,16276,12450,13397,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),77205,75441,75131,35663,31248,26819,22666,23223,
少数股东权益(万元),5938,6202,6076,5712,5074,4164,3482,2901,
所有者权益(或股东权益)合计(万元),83143,81644,81206,41375,36322,30983,26148,26125,
负债和所有者权益(或股东权益)总计(万元),109459,110534,131534,97581,96480,98900,107012,104229,		
  
