 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 加:期初现金及现金等价物余额(万元),21652,52312,52312,52312,62403,30980,40699, 
 期末现金及现金等价物余额(万元),69433,21652,23780,33387,52312,62403,30980, 
 净利润(万元),--,17993,--,--,14425,20715,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,82,--,--,1846,707,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,18898,--,--,17741,16370,--, 
 无形资产摊销(万元),--,1874,--,--,1673,1753,--, 
 长期待摊费用摊销(万元),--,30,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-484,--,--,244,-167,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,3124,--,--,6134,3932,--, 
 投资损失(万元),--,--,--,--,-476,191,--, 
 递延所得税资产减少(万元),--,-795,--,--,28,179,--, 
 递延所得税负债增加(万元),--,-145,--,--,-163,-163,--, 
 存货的减少(万元),--,-6302,--,--,7020,484,--, 
 经营性应收项目的减少(万元),--,-14457,--,--,-5200,-1996,--, 
 经营性应付项目的增加(万元),--,-2392,--,--,-11294,-1186,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,46,--,--,-275,-407,--, 
 经营活动产生现金流量净额(万元),--,17471,--,--,31703,40411,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),69433,21652,23780,33387,52312,62403,30980, 
 现金的期初余额(万元),21652,52312,52312,52312,62403,30980,40699, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),47781,-30661,-28533,-18926,-10091,31423,-9719, 

